               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.030972,            0.029783,           0.0044115,             0.83118,             0.82299,             0.86831,             0.50036,            0.032647,            0.032888,           0.0041663,               0.008,               0.008,               0.008
                 102,            0.031329,            0.029884,           0.0045603,             0.83626,             0.81929,             0.86416,             0.48456,            0.033581,            0.034255,           0.0040393,           0.0079636,           0.0079636,           0.0079636
                 103,            0.032631,             0.02825,           0.0044824,             0.81244,             0.82764,             0.85083,             0.48747,            0.033821,            0.035361,           0.0040763,            0.007927,            0.007927,            0.007927
                 104,            0.033249,            0.027814,           0.0046946,             0.86165,             0.80877,             0.86543,             0.51142,             0.03216,            0.032992,           0.0038385,           0.0078902,           0.0078902,           0.0078902
                 105,            0.030227,            0.027871,           0.0040294,             0.85619,             0.84353,             0.86502,             0.48437,            0.033442,             0.03407,           0.0037896,           0.0078532,           0.0078532,           0.0078532
                 106,            0.032198,            0.029319,           0.0051523,             0.83985,             0.82705,             0.87174,             0.48788,            0.033666,            0.032316,           0.0038447,            0.007816,            0.007816,            0.007816
                 107,            0.031042,            0.028688,           0.0049246,             0.80043,             0.85899,             0.86566,             0.48557,            0.033849,            0.033394,           0.0038959,           0.0077785,           0.0077785,           0.0077785
                 108,            0.030139,              0.0281,           0.0046048,             0.82846,              0.8355,             0.86626,             0.48556,            0.033858,            0.034483,           0.0039743,           0.0077409,           0.0077409,           0.0077409
                 109,            0.029262,             0.02814,           0.0046677,             0.81919,              0.8575,             0.86369,             0.48358,            0.033034,            0.035516,           0.0038212,           0.0077031,           0.0077031,           0.0077031
                 110,            0.031137,             0.02659,           0.0044946,             0.80231,             0.87442,             0.86615,             0.50345,            0.032291,            0.033901,           0.0038827,           0.0076651,           0.0076651,           0.0076651
                 111,            0.030622,             0.02954,           0.0044789,             0.80252,             0.84781,             0.86062,               0.497,            0.031622,            0.033802,           0.0041387,           0.0076269,           0.0076269,           0.0076269
                 112,            0.029746,            0.026747,           0.0048296,             0.85201,             0.84002,             0.86434,              0.5001,            0.032131,            0.033283,           0.0040171,           0.0075886,           0.0075886,           0.0075886
                 113,            0.030155,            0.028919,           0.0045789,             0.87704,             0.82098,             0.86392,              0.5137,              0.0328,            0.033724,           0.0036709,           0.0075501,           0.0075501,           0.0075501
                 114,            0.030196,             0.02752,           0.0045513,             0.83531,             0.79663,             0.84195,             0.48765,            0.033834,            0.033718,           0.0037754,           0.0075114,           0.0075114,           0.0075114
                 115,            0.032774,            0.028564,           0.0045917,             0.86818,             0.82993,              0.8696,              0.5128,            0.032971,            0.033014,            0.003684,           0.0074725,           0.0074725,           0.0074725
                 116,            0.030377,            0.028773,           0.0042021,             0.83854,             0.82641,              0.8508,             0.49425,            0.033744,            0.034385,           0.0038064,           0.0074335,           0.0074335,           0.0074335
                 117,            0.031165,            0.027229,           0.0041123,              0.8493,              0.8113,             0.84548,             0.48766,             0.03339,            0.034674,           0.0038942,           0.0073943,           0.0073943,           0.0073943
                 118,            0.029331,            0.026435,            0.004336,             0.83949,             0.84317,             0.86304,             0.48952,            0.034165,            0.034363,            0.003922,            0.007355,            0.007355,            0.007355
                 119,            0.031209,            0.027828,           0.0042014,             0.84684,             0.84492,             0.87277,             0.50056,            0.033141,            0.033145,           0.0041408,           0.0073155,           0.0073155,           0.0073155
                 120,            0.028581,            0.026608,           0.0042519,             0.82613,             0.84614,             0.85944,             0.48411,            0.033844,            0.033763,           0.0042404,           0.0072758,           0.0072758,           0.0072758
                 121,            0.030683,            0.027775,           0.0044152,             0.83887,             0.83482,              0.8579,             0.50156,            0.032576,            0.033905,           0.0042698,           0.0072361,           0.0072361,           0.0072361
                 122,            0.030432,            0.029447,           0.0041046,             0.80645,             0.84352,             0.85822,             0.50239,            0.032563,            0.033398,           0.0042229,           0.0071962,           0.0071962,           0.0071962
                 123,            0.030889,            0.026518,           0.0046658,             0.82605,             0.82886,             0.86586,             0.50425,            0.032652,            0.034107,           0.0040835,           0.0071561,           0.0071561,           0.0071561
                 124,            0.028551,            0.026615,           0.0043178,             0.80464,             0.82826,             0.85664,              0.5086,            0.032523,            0.034518,            0.004079,            0.007116,            0.007116,            0.007116
                 125,            0.027889,            0.027232,           0.0044656,             0.79968,             0.84062,              0.8684,             0.51374,            0.031805,            0.034478,            0.004015,           0.0070757,           0.0070757,           0.0070757
                 126,             0.02794,            0.024823,           0.0041426,             0.80837,             0.88039,             0.87383,             0.52025,            0.031801,            0.033483,           0.0040109,           0.0070353,           0.0070353,           0.0070353
                 127,            0.028594,            0.026275,            0.004064,             0.82437,             0.86227,             0.88757,             0.51901,             0.03207,            0.033319,           0.0040521,           0.0069948,           0.0069948,           0.0069948
                 128,            0.029807,            0.027479,           0.0044206,              0.8448,              0.8211,             0.87563,             0.50734,            0.032438,            0.033028,           0.0040285,           0.0069541,           0.0069541,           0.0069541
                 129,            0.027082,            0.025253,           0.0041196,             0.81494,             0.86132,              0.8765,             0.51466,            0.032087,            0.034128,           0.0040551,           0.0069134,           0.0069134,           0.0069134
                 130,            0.029347,             0.02589,           0.0043317,              0.8241,             0.83773,             0.86735,             0.49715,            0.032799,            0.033963,           0.0041748,           0.0068726,           0.0068726,           0.0068726
                 131,            0.029268,            0.025779,           0.0040243,             0.78591,             0.83625,             0.85987,             0.50031,            0.032697,            0.034331,           0.0042716,           0.0068316,           0.0068316,           0.0068316
                 132,            0.027313,            0.028034,           0.0042322,             0.84022,             0.80938,             0.86072,             0.50565,            0.032594,            0.035913,           0.0042976,           0.0067906,           0.0067906,           0.0067906
